timestamp,demand_mw,temperature_2m,relative_humidity_2m,wind_speed_10m,surface_pressure,dew_point,apparent_temperature,precipitation,temperature,humidity,wind_speed,hour,day_of_week,day_of_month,month,is_weekend,season,lag_1h,lag_2h,lag_3h,lag_24h,lag_48h,lag_168h,rolling_mean_3h,rolling_mean_6h,rolling_mean_24h,rolling_max_24h,temperature_squared,temperature_x_hour,temperature_x_weekend
2021-01-08 00:00:00,4697.8575,13.0,91.0,2.7000000000000006,1014.85,11.6,8.8,0.0,13.0,91.0,2.7000000000000006,0,4,8,1,0,1,5710.732916666667,6723.608333333334,6253.017500000001,6557.406666666667,4300.2575,1975.5416666666667,6229.119583333333,5944.503402777777,5867.1806423611115,6931.350833333333,169.0,0.0,0.0
2021-01-08 01:00:00,4430.386666666666,13.0,94.0,0.0,1014.0,12.1,7.9,0.0,13.0,94.0,0.0,1,4,8,1,0,1,4697.8575,5710.732916666667,6723.608333333334,6331.355833333334,3033.865,1805.59,5710.732916666668,5776.045486111111,5789.699427083332,6931.350833333333,169.0,13.0,0.0
2021-01-08 02:00:00,4238.806666666666,12.6,97.0,0.0,1014.4,12.15,7.8,0.0,12.6,97.0,0.0,2,4,8,1,0,1,4430.386666666666,4697.8575,5710.732916666667,6075.7575,2989.7566666666667,1665.9141666666667,4946.325694444445,5595.048125,5710.492378472222,6931.350833333333,158.76,25.2,0.0
2021-01-08 03:00:00,4055.9658333333336,12.1,100.0,0.0,1013.9,12.1,7.4,0.0,12.1,100.0,0.0,3,4,8,1,0,1,4238.806666666666,4430.386666666666,4697.8575,5798.06,3072.9075,1607.3316666666667,4455.683611111111,5342.401597222222,5633.952760416666,6931.350833333333,146.41,36.3,0.0
2021-01-08 04:00:00,3894.6866666666665,12.0,100.0,0.0,1013.0,12.0,7.4,0.0,12.0,100.0,0.0,4,4,8,1,0,1,4055.9658333333336,4238.806666666666,4430.386666666666,5545.454166666666,2973.255833333333,1676.5283333333334,4241.719722222222,4976.226319444444,5561.365503472222,6931.350833333333,144.0,48.0,0.0
2021-01-08 05:00:00,3712.41,11.9,98.5,0.0,1013.75,11.65,8.7,0.0,11.9,98.5,0.0,5,4,8,1,0,1,3894.6866666666665,4055.9658333333336,4238.806666666666,5190.123333333334,2868.568333333333,1988.8575,4063.153055555556,4504.739375,5492.583524305555,6931.350833333333,141.61,59.5,0.0
2021-01-08 06:00:00,3451.1358333333337,11.9,98.5,0.0,1014.25,11.65,9.1,0.0,11.9,98.5,0.0,6,4,8,1,0,1,3712.41,3894.6866666666665,4055.9658333333336,4831.1725,2745.629166666667,2652.0825,3887.6875,4171.685555555556,5431.012135416667,6931.350833333333,141.61,71.4,0.0
2021-01-08 07:00:00,3371.7275000000004,12.0,100.0,3.7999999999999994,1014.5,12.0,10.2,0.0,12.0,100.0,3.7999999999999994,7,4,8,1,0,1,3451.1358333333337,3712.41,3894.6866666666665,4608.984166666666,2690.87,3527.1,3686.077500000001,3963.898611111111,5373.510607638888,6931.350833333333,144.0,84.0,0.0
2021-01-08 08:00:00,3375.0633333333335,12.0,97.5,3.7999999999999994,1015.8,11.6,11.2,0.0,12.0,97.5,3.7999999999999994,8,4,8,1,0,1,3371.7275000000004,3451.1358333333337,3712.41,4563.969166666667,2688.82,4211.79,3511.7577777777783,3787.455416666667,5321.958246527778,6931.350833333333,144.0,96.0,0.0
2021-01-08 09:00:00,3509.924166666666,12.5,94.5,0.0,1016.8,11.65,12.3,0.0,12.5,94.5,0.0,9,4,8,1,0,1,3375.0633333333335,3371.7275000000004,3451.1358333333337,4988.3966666666665,2801.730833333333,4628.8475,3399.308888888889,3643.4981944444444,5272.420503472222,6931.350833333333,156.25,112.5,0.0
2021-01-08 10:00:00,3774.1408333333334,13.0,94.0,0.0,1017.0,12.1,14.5,0.0,13.0,94.0,0.0,10,4,8,1,0,1,3509.924166666666,3375.0633333333335,3371.7275000000004,5507.31,2897.52,4908.6925,3418.905,3552.4912500000005,5210.817482638889,6931.350833333333,169.0,130.0,0.0
